country,region,year,Mobile cellular subscriptions (per 100 people),"Mobile cellular subscriptions, total number",High-technology exports (% of manufactured exports),Personal computers,PC per 100,Internet users (per 100 people),"Internet users, total number"
Burkina Faso,Western Africa,1985,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1986,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1987,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1988,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1989,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1990,0,0,NA,1019,0.01,0,0
Burkina Faso,Western Africa,1991,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1992,0,0,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1993,0,0,NA,1800,0.02,NA,NA
Burkina Faso,Western Africa,1994,0,0,NA,2200,0.02,NA,NA
Burkina Faso,Western Africa,1995,0,0,1.93086966926776,2700,0.03,NA,NA
Burkina Faso,Western Africa,1996,0.004776127006769,525,6.14394337475501,5e3,0.05,9.60518557074e-4,105.58183267517
Burkina Faso,Western Africa,1997,0.013298992497351,1503,6.29676678480652,8e3,0.08,0.018686353113399,2111.85837837212
Burkina Faso,Western Africa,1998,0.023491632805299,2730,3.39684902505695,1e4,0.09,0.04542348405027,5278.73530482156
Burkina Faso,Western Africa,1999,0.042136261608285,5036,4.33470510948433,12e3,0.11,0.061780292686784,7383.79585884933
Burkina Faso,Western Africa,2e3,0.205343869844929,25245,3.17558516671841,15e3,0.13,0.077080168942601,9476.24521942369
Burkina Faso,Western Africa,2001,0.60233353051127,76186,6.97916671243768,3e4,0.26,0.157732464653607,19950.7497812707
Burkina Faso,Western Africa,2002,0.852933459388795,111013,2.08918665157036,5e4,0.42,0.200992597925001,26160.0609377398
Burkina Faso,Western Africa,2003,1.77740465357316,238094,4.99486230534168,6e4,0.48,0.373440303233526,50024.5655255472
Burkina Faso,Western Africa,2004,2.87125873910857,395939,11.3653069317145,7e4,0.55,0.400295285492178,55199.6630898176
Burkina Faso,Western Africa,2005,4.46213086585499,633554,22.4762716993915,8e4,0.6,0.469914488656657,66720.6348035546
Burkina Faso,Western Africa,2006,6.95247542059671,1016605,NA,9e4,0.66,0.632707564461829,92515.7781448888
Burkina Faso,Western Africa,2007,12.3366465205426,1858038,5.66952009205404,NA,NA,0.75,112958.4525
Burkina Faso,Western Africa,2008,19.4914580215166,3024150,0.676025451841119,NA,NA,0.92,142740.3736
Burkina Faso,Western Africa,2009,23.9208609802046,3823625,0.513097165946037,NA,NA,1.13,180624.6127
Burkina Faso,Western Africa,2010,34.6587474893304,5707850,7.80400790995068,NA,NA,2.4,230561.996
Burkina Faso,Western Africa,2011,45.2744588366997,7682100,NA,NA,NA,3,NA
Burundi,Eastern Africa,1965,0,0,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1966,NA,NA,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1967,NA,NA,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1968,NA,NA,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1969,NA,NA,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1970,0,0,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1971,NA,NA,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1972,NA,NA,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1973,NA,NA,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1974,NA,NA,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1975,0,0,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1976,0,0,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1977,0,0,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1978,0,0,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1979,0,0,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1980,0,0,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1981,0,0,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1982,0,0,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1983,0,0,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1984,0,0,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1985,0,0,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1986,0,0,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1987,0,0,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1988,0,0,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1989,0,0,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1990,0,0,NA,NA,NA,0,0
Burundi,Eastern Africa,1991,0,0,NA,NA,NA,0,0
Burundi,Eastern Africa,1992,0,0,NA,NA,NA,0,0
Burundi,Eastern Africa,1993,0.005949478645332,353,0.04058591368642,NA,NA,0,0
Burundi,Eastern Africa,1994,0.006282067837358,378,1.06341038634855,NA,NA,0,0
Burundi,Eastern Africa,1995,0.009266027146502,564,0.196872990946478,NA,NA,0,0
Burundi,Eastern Africa,1996,0.009136423909223,561,NA,NA,NA,8.03592121069e-4,49.3426295012811
Burundi,Eastern Africa,1997,0.010013762047454,619,NA,NA,NA,0.00797943858266,493.248437426439
Burundi,Eastern Africa,1998,0.009962215886039,620,1.48859877275826,NA,NA,0.015842776288117,985.977558707388
Burundi,Eastern Africa,1999,0.012731429539017,800,0.331964263030868,NA,NA,0.039204469184033,2463.47633241877
Burundi,Eastern Africa,2e3,0.256026225117647,16320,0.029389169317707,4e3,0.06,0.077248447383456,4924.08408833391
Burundi,Eastern Africa,2001,0.514119753777625,33416,2.4131684757997,4e3,0.06,0.106001245363203,6889.71312428676
Burundi,Eastern Africa,2002,0.78124166644256,52e3,22.3436241306148,4200,0.06,0.118228412267794,7869.36706271707
Burundi,Eastern Africa,2003,0.935841622842958,64e3,12.0886418855303,13e3,0.18,0.201273196735924,13764.5989200255
Burundi,Eastern Africa,2004,1.4285036481108,100560,5.8742002792613,34e3,0.47,0.349060461879596,24572.2298945712
Burundi,Eastern Africa,2005,2.10993040815156,153e3,4.19278056190366,55e3,0.73,0.542142865759056,39313.07788194
Burundi,Eastern Africa,2006,2.67581331011084,2e5,3.13824595596002,65e3,0.83,0.657592590351907,49150.8572640045
Burundi,Eastern Africa,2007,3.50295370353673,27e4,2.16469934892993,NA,NA,0.7,53954.467
Burundi,Eastern Africa,2008,6.05011591405931,480584,7.51500086733139,NA,NA,0.81,64341.4185
Burundi,Eastern Africa,2009,10.261033945905,838414,11.5369776703751,NA,NA,0.9,155246.207
Burundi,Eastern Africa,2010,13.7244509593338,1150500,8.49565519490346,NA,NA,1,176039.829
Burundi,Eastern Africa,2011,14.4603513492208,124e4,NA,NA,NA,1.11,NA
Cameroon,Middle Africa,1965,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1966,NA,NA,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1967,NA,NA,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1968,NA,NA,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1969,NA,NA,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1970,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1971,NA,NA,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1972,NA,NA,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1973,NA,NA,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1974,NA,NA,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1975,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1976,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1977,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1978,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1979,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1980,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1981,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1982,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1983,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1984,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1985,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1986,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1987,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1988,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1989,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1990,0,0,3.18774713714122,NA,NA,0,0
Cameroon,Middle Africa,1991,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1992,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1993,0,0,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1994,0.011773623536474,1600,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1995,0.02008559764373,2800,2.62888924534818,2e4,0.15,NA,NA
Cameroon,Middle Africa,1996,0.024496980747123,3500,1.75872256428645,25e3,0.18,NA,NA
Cameroon,Middle Africa,1997,0.028704390432198,4200,1.03481454321169,3e4,0.22,0.006768744294372,990.396437907703
Cameroon,Middle Africa,1998,0.033386306272619,5e3,NA,35e3,0.25,0.013216340524829,1979.30558967941
Cameroon,Middle Africa,1999,0.039154137505807,6e3,NA,4e4,0.27,0.129067580946992,19778.3819287834
Cameroon,Middle Africa,2e3,0.65873981368734,103279,1.38885381452862,5e4,0.34,0.252120077733662,39528.0639900927
Cameroon,Middle Africa,2001,2.60163243325,417295,1.37644386253797,6e4,0.4,0.277051321848797,44438.3033795705
Cameroon,Middle Africa,2002,4.27537400007374,701507,1.05865204647648,9e4,0.58,0.360871584267755,59212.1162874999
Cameroon,Middle Africa,2003,6.41706794691839,1077e3,2.85943531922462,12e4,0.76,0.587622611130454,98622.8535247808
Cameroon,Middle Africa,2004,8.91840482294857,1530868,2.06283639416422,16e4,1,0.976075415490902,167545.951190373
Cameroon,Middle Africa,2005,12.8321792198735,2252508,2.20731699632646,2e5,1.23,1.40265422575955,246216.157880964
Cameroon,Middle Africa,2006,17.4720135143003,3135946,2.73568887949081,NA,NA,2.0287447914719,364127.128715303
Cameroon,Middle Africa,2007,24.7193164128087,4536e3,2.92912452895538,NA,NA,2.93,537655.6446
Cameroon,Middle Africa,2008,32.84272035204,6160893,1.96657377936357,NA,NA,3.4,637798.452
Cameroon,Middle Africa,2009,41.7424162301093,8004120,2.54010234250321,NA,NA,3.84,736321.0752
Cameroon,Middle Africa,2010,44.0670489026189,8636652,4.86879673843463,NA,NA,4.3,783955.56
Cameroon,Middle Africa,2011,52.3535920119666,10486614,NA,NA,NA,5,NA
Cape Verde,Western Africa,1965,0,0,NA,NA,NA,NA,NA
Cape Verde,Western Africa,1966,NA,NA,NA,NA,NA,NA,NA
Cape Verde,Western Africa,1967,NA,NA,NA,NA,NA,NA,NA
