country,region,year,Fixed broadband Internet subscribers (per 100 people),Fixed broadband Internet subscribers,"Proportion of the population using improved sanitation facilities, urban",Fixed line and mobile phone subscribers (per 100 peoples),"Proportion of the population using improved sanitation facilities, rural","Proportion of the population using improved sanitation facilities, total"
Botswana,Southern Africa,1976,NA,NA,NA,0.583085619,NA,NA
Botswana,Southern Africa,1977,NA,NA,NA,0.617528606,NA,NA
Botswana,Southern Africa,1978,NA,NA,NA,0.637631728,NA,NA
Botswana,Southern Africa,1979,NA,NA,NA,0.666242631,NA,NA
Botswana,Southern Africa,1980,NA,NA,NA,0.715693549,NA,NA
Botswana,Southern Africa,1981,NA,NA,NA,0.757648496,NA,NA
Botswana,Southern Africa,1982,NA,NA,NA,0.795960729,NA,NA
Botswana,Southern Africa,1983,NA,NA,NA,0.858857381,NA,NA
Botswana,Southern Africa,1984,NA,NA,NA,0.886345669,NA,NA
Botswana,Southern Africa,1985,NA,NA,NA,0.901002979,NA,NA
Botswana,Southern Africa,1986,NA,NA,NA,0.970149192,NA,NA
Botswana,Southern Africa,1987,NA,NA,NA,1.167925629,NA,NA
Botswana,Southern Africa,1988,NA,NA,NA,1.414236623,NA,NA
Botswana,Southern Africa,1989,NA,NA,NA,1.672229463,NA,NA
Botswana,Southern Africa,1990,NA,NA,61,1.928634595,22,38
Botswana,Southern Africa,1991,NA,NA,62,2.31662289,23,41
Botswana,Southern Africa,1992,NA,NA,63,2.518788893,24,42
Botswana,Southern Africa,1993,NA,NA,64,2.921278572,25,43
Botswana,Southern Africa,1994,NA,NA,64,3.301181167,26,44
Botswana,Southern Africa,1995,NA,NA,65,3.809998717,27,46
Botswana,Southern Africa,1996,NA,NA,66,4.503995253,28,47
Botswana,Southern Africa,1997,NA,NA,66,5.226111507,29,48
Botswana,Southern Africa,1998,NA,NA,67,7.015101447,30,49
Botswana,Southern Africa,1999,NA,NA,68,12.68608639,31,50
Botswana,Southern Africa,2000,0,0,69,20.71234886,32,52
Botswana,Southern Africa,2001,0,0,69,27.39917201,33,52
Botswana,Southern Africa,2002,0,0,70,32.48613637,34,54
Botswana,Southern Africa,2003,0,0,71,36.46462266,35,55
Botswana,Southern Africa,2004,0,0,72,38.57892994,36,56
Botswana,Southern Africa,2005,0.085302715345372,1600,72,52.02267179,37,57
Botswana,Southern Africa,2006,0.094691738934876,1800,73,60.09876421,38,58
Botswana,Southern Africa,2007,0.183653776315926,3540,74,..,39,60
Botswana,Southern Africa,2008,0.455284419757912,8900,75,NA,40,61
Botswana,Southern Africa,2009,0.504648824975676,1e4,75,NA,41,62
Botswana,Southern Africa,2010,0.596811160936722,11978,75,NA,41,62
Botswana,Southern Africa,2011,NA,NA,NA,NA,NA,NA
Burkina Faso,Western Africa,1960,NA,NA,NA,..,NA,NA
Burkina Faso,Western Africa,1961,NA,NA,NA,..,NA,NA
Burkina Faso,Western Africa,1962,NA,NA,NA,..,NA,NA
Burkina Faso,Western Africa,1963,NA,NA,NA,..,NA,NA
Burkina Faso,Western Africa,1964,NA,NA,NA,..,NA,NA
Burkina Faso,Western Africa,1965,NA,NA,NA,..,NA,NA
Burkina Faso,Western Africa,1966,NA,NA,NA,..,NA,NA
Burkina Faso,Western Africa,1967,NA,NA,NA,..,NA,NA
Burkina Faso,Western Africa,1968,NA,NA,NA,..,NA,NA
Burkina Faso,Western Africa,1969,NA,NA,NA,..,NA,NA
Burkina Faso,Western Africa,1970,NA,NA,NA,..,NA,NA
Burkina Faso,Western Africa,1971,NA,NA,NA,..,NA,NA
Burkina Faso,Western Africa,1972,NA,NA,NA,..,NA,NA
Burkina Faso,Western Africa,1973,NA,NA,NA,..,NA,NA
Burkina Faso,Western Africa,1974,NA,NA,NA,..,NA,NA
Burkina Faso,Western Africa,1975,NA,NA,NA,0.0394,NA,NA
Burkina Faso,Western Africa,1976,NA,NA,NA,0.0417,NA,NA
Burkina Faso,Western Africa,1977,NA,NA,NA,0.0627,NA,NA
Burkina Faso,Western Africa,1978,NA,NA,NA,0.0613,NA,NA
Burkina Faso,Western Africa,1979,NA,NA,NA,..,NA,NA
Burkina Faso,Western Africa,1980,NA,NA,NA,..,NA,NA
Burkina Faso,Western Africa,1981,NA,NA,NA,0.0955,NA,NA
Burkina Faso,Western Africa,1982,NA,NA,NA,0.100367291,NA,NA
Burkina Faso,Western Africa,1983,NA,NA,NA,0.10218395,NA,NA
Burkina Faso,Western Africa,1984,NA,NA,NA,0.103787022,NA,NA
Burkina Faso,Western Africa,1985,NA,NA,NA,0.103125226,NA,NA
Burkina Faso,Western Africa,1986,NA,NA,NA,0.121007354,NA,NA
Burkina Faso,Western Africa,1987,NA,NA,NA,0.141955836,NA,NA
Burkina Faso,Western Africa,1988,NA,NA,NA,0.152896288,NA,NA
Burkina Faso,Western Africa,1989,NA,NA,NA,0.168171315,NA,NA
Burkina Faso,Western Africa,1990,NA,NA,43,0.182417307,2,8
Burkina Faso,Western Africa,1991,NA,NA,43,0.195354987,2,8
Burkina Faso,Western Africa,1992,NA,NA,44,0.210314824,2,8
Burkina Faso,Western Africa,1993,NA,NA,44,0.225768071,2,8
Burkina Faso,Western Africa,1994,NA,NA,44,0.26389469,2,8
Burkina Faso,Western Africa,1995,NA,NA,45,0.292493453,3,9
Burkina Faso,Western Africa,1996,NA,NA,45,0.327130344,3,9
Burkina Faso,Western Africa,1997,NA,NA,45,0.347195788,3,10
Burkina Faso,Western Africa,1998,NA,NA,46,0.392668075,3,10
Burkina Faso,Western Africa,1999,NA,NA,46,0.454401905,4,11
Burkina Faso,Western Africa,2000,NA,NA,46,0.660355937,4,11
Burkina Faso,Western Africa,2001,0,0,47,1.094621802,4,12
Burkina Faso,Western Africa,2002,3.8415926936e-4,50,47,1.365453469,4,12
Burkina Faso,Western Africa,2003,0.00108244506274,145,47,2.329422666,4,13
Burkina Faso,Western Africa,2004,0.001116772648874,154,48,3.562303742,5,14
Burkina Faso,Western Africa,2005,0.002704518087627,384,48,5.201508064,5,14
Burkina Faso,Western Africa,2006,0.011728739624853,1715,48,7.740105164,5,15
Burkina Faso,Western Africa,2007,0.044697850300313,6732,49,..,5,15
Burkina Faso,Western Africa,2008,0.066167124001418,10266,49,NA,6,16
Burkina Faso,Western Africa,2009,0.074741253687405,11947,49,NA,6,17
Burkina Faso,Western Africa,2010,0.086185329123148,14193,50,NA,6,17
Burkina Faso,Western Africa,2011,NA,NA,NA,NA,NA,NA
Burundi,Eastern Africa,1960,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1961,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1962,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1963,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1964,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1965,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1966,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1967,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1968,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1969,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1970,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1971,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1972,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1973,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1974,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1975,NA,NA,NA,0.0734,NA,NA
Burundi,Eastern Africa,1976,NA,NA,NA,0.0695,NA,NA
Burundi,Eastern Africa,1977,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1978,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1979,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1980,NA,NA,NA,..,NA,NA
Burundi,Eastern Africa,1981,NA,NA,NA,0.0469,NA,NA
Burundi,Eastern Africa,1982,NA,NA,NA,0.049940276,NA,NA
Burundi,Eastern Africa,1983,NA,NA,NA,0.0533,NA,NA
Burundi,Eastern Africa,1984,NA,NA,NA,0.0807,NA,NA
Burundi,Eastern Africa,1985,NA,NA,NA,0.108700503,NA,NA
Burundi,Eastern Africa,1986,NA,NA,NA,0.131237803,NA,NA
Burundi,Eastern Africa,1987,NA,NA,NA,0.136098636,NA,NA
Burundi,Eastern Africa,1988,NA,NA,NA,0.136331766,NA,NA
Burundi,Eastern Africa,1989,NA,NA,NA,0.138217225,NA,NA
Burundi,Eastern Africa,1990,NA,NA,41,0.139667504,44,44
Burundi,Eastern Africa,1991,NA,NA,42,0.175705293,44,44
Burundi,Eastern Africa,1992,NA,NA,42,0.216669096,44,44
Burundi,Eastern Africa,1993,NA,NA,43,0.262477025,44,44
Burundi,Eastern Africa,1994,NA,NA,43,0.262582128,44,44
Burundi,Eastern Africa,1995,NA,NA,44,0.285453121,45,45
Burundi,Eastern Africa,1996,NA,NA,44,0.249289283,45,45
Burundi,Eastern Africa,1997,NA,NA,45,0.25847665,45,45
Burundi,Eastern Africa,1998,NA,NA,45,0.286490904,45,45
Burundi,Eastern Africa,1999,NA,NA,46,0.302701635,45,45
Burundi,Eastern Africa,2000,NA,NA,46,0.5446842,45,45
Burundi,Eastern Africa,2001,0,0,47,0.788965392,45,45
Burundi,Eastern Africa,2002,0,0,47,1.050966722,46,46
Burundi,Eastern Africa,2003,0,0,48,1.205066558,46,46
Burundi,Eastern Africa,2004,0,0,48,1.695845849,46,46
Burundi,Eastern Africa,2005,0,0,49,2.342599517,46,46
Burundi,Eastern Africa,2006,0,0,49,..,46,46
Burundi,Eastern Africa,2007,0,0,49,..,46,46
Burundi,Eastern Africa,2008,0.002014254628222,160,49,NA,46,46
Burundi,Eastern Africa,2009,0.001958179886482,160,49,NA,46,46
Burundi,Eastern Africa,2010,0.002386065378191,200,49,NA,46,46
Burundi,Eastern Africa,2011,NA,NA,NA,NA,NA,NA
Cameroon,Middle Africa,1960,NA,NA,NA,..,NA,NA
Cameroon,Middle Africa,1961,NA,NA,NA,..,NA,NA
Cameroon,Middle Africa,1962,NA,NA,NA,..,NA,NA
Cameroon,Middle Africa,1963,NA,NA,NA,..,NA,NA
Cameroon,Middle Africa,1964,NA,NA,NA,..,NA,NA
Cameroon,Middle Africa,1965,NA,NA,NA,..,NA,NA
Cameroon,Middle Africa,1966,NA,NA,NA,..,NA,NA
Cameroon,Middle Africa,1967,NA,NA,NA,..,NA,NA
Cameroon,Middle Africa,1968,NA,NA,NA,..,NA,NA
Cameroon,Middle Africa,1969,NA,NA,NA,..,NA,NA
Cameroon,Middle Africa,1970,NA,NA,NA,..,NA,NA
Cameroon,Middle Africa,1971,NA,NA,NA,..,NA,NA
Cameroon,Middle Africa,1972,NA,NA,NA,..,NA,NA
Cameroon,Middle Africa,1973,NA,NA,NA,..,NA,NA
Cameroon,Middle Africa,1974,NA,NA,NA,..,NA,NA
Cameroon,Middle Africa,1975,NA,NA,NA,0.166001099,NA,NA
Cameroon,Middle Africa,1976,NA,NA,NA,0.167950076,NA,NA
Cameroon,Middle Africa,1977,NA,NA,NA,0.170060711,NA,NA
Cameroon,Middle Africa,1978,NA,NA,NA,0.177189785,NA,NA
Cameroon,Middle Africa,1979,NA,NA,NA,0.188109923,NA,NA
Cameroon,Middle Africa,1980,NA,NA,NA,0.189510395,NA,NA
Cameroon,Middle Africa,1981,NA,NA,NA,0.195787656,NA,NA
Cameroon,Middle Africa,1982,NA,NA,NA,0.22146367,NA,NA
Cameroon,Middle Africa,1983,NA,NA,NA,0.253159038,NA,NA
Cameroon,Middle Africa,1984,NA,NA,NA,0.275501638,NA,NA
Cameroon,Middle Africa,1985,NA,NA,NA,0.283985108,NA,NA
Cameroon,Middle Africa,1986,NA,NA,NA,0.298901427,NA,NA
Cameroon,Middle Africa,1987,NA,NA,NA,0.313129782,NA,NA
Cameroon,Middle Africa,1988,NA,NA,NA,0.312346538,NA,NA
Cameroon,Middle Africa,1989,NA,NA,NA,0.32379174,NA,NA
Cameroon,Middle Africa,1990,NA,NA,63,0.328607721,37,48
Cameroon,Middle Africa,1991,NA,NA,63,0.332791102,37,48
Cameroon,Middle Africa,1992,NA,NA,63,0.421692221,37,48
Cameroon,Middle Africa,1993,NA,NA,62,0.428847238,37,48
Cameroon,Middle Africa,1994,NA,NA,62,0.436638401,37,48
Cameroon,Middle Africa,1995,NA,NA,62,0.486520411,37,48
Cameroon,Middle Africa,1996,NA,NA,62,0.513663962,37,49
Cameroon,Middle Africa,1997,NA,NA,61,0.537444809,37,48
Cameroon,Middle Africa,1998,NA,NA,61,0.653807311,37,49
Cameroon,Middle Africa,1999,NA,NA,61,0.649396884,37,49
Cameroon,Middle Africa,2000,NA,NA,61,1.250121526,37,49
Cameroon,Middle Africa,2001,0,0,60,3.224005256,37,49
Cameroon,Middle Africa,2002,0,0,60,4.885846089,37,49
Cameroon,Middle Africa,2003,0,0,60,6.900519522,37,49
Cameroon,Middle Africa,2004,0,0,60,9.39739393,37,49
Cameroon,Middle Africa,2005,0.001150761818566,202,59,13.22178308,36,48
Cameroon,Middle Africa,2006,0.002345613632862,421,59,..,36,49
Cameroon,Middle Africa,2007,0.003487734238139,640,59,..,36,49
Cameroon,Middle Africa,2008,0.004584520377607,860,59,NA,36,49
Cameroon,Middle Africa,2009,0.004693604619508,900,58,NA,36,49
Cameroon,Middle Africa,2010,0.005102301137813,1e3,58,NA,36,49
Cameroon,Middle Africa,2011,NA,NA,NA,NA,NA,NA
Cape Verde,Western Africa,1960,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1961,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1962,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1963,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1964,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1965,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1966,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1967,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1968,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1969,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1970,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1971,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1972,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1973,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1974,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1975,NA,NA,NA,0.536276013,NA,NA
Cape Verde,Western Africa,1976,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1977,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1978,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1979,NA,NA,NA,..,NA,NA
Cape Verde,Western Africa,1980,NA,NA,NA,0.497524479,NA,NA
Cape Verde,Western Africa,1981,NA,NA,NA,0.532700252,NA,NA
Cape Verde,Western Africa,1982,NA,NA,NA,0.567874346,NA,NA
Cape Verde,Western Africa,1983,NA,NA,NA,0.618334097,NA,NA
Cape Verde,Western Africa,1984,NA,NA,NA,0.701183688,NA,NA
Cape Verde,Western Africa,1985,NA,NA,NA,0.715136321,NA,NA
Cape Verde,Western Africa,1986,NA,NA,NA,1.142120687,NA,NA
Cape Verde,Western Africa,1987,NA,NA,NA,1.687046047,NA,NA
Cape Verde,Western Africa,1988,NA,NA,NA,1.88486605,NA,NA
Cape Verde,Western Africa,1989,NA,NA,NA,1.957741572,NA,NA
Cape Verde,Western Africa,1990,NA,NA,NA,2.320796828,NA,NA
Cape Verde,Western Africa,1991,NA,NA,NA,2.499945026,NA,NA
Cape Verde,Western Africa,1992,NA,NA,56,3.119693316,18,35
Cape Verde,Western Africa,1993,NA,NA,56,3.992043135,18,36
Cape Verde,Western Africa,1994,NA,NA,56,4.712090023,18,36
Cape Verde,Western Africa,1995,NA,0,56,5.363366658,18,37
Cape Verde,Western Africa,1996,NA,NA,56,6.143597335,18,37
Cape Verde,Western Africa,1997,NA,NA,57,7.912465922,20,39
Cape Verde,Western Africa,1998,NA,NA,58,9.532499535,22,41
Cape Verde,Western Africa,1999,NA,NA,60,12.47876023,23,42
Cape Verde,Western Africa,2000,NA,NA,61,16.50543612,25,44
